,GEOGRAPHY_CODE,final_total
0,95AA01,10
1,95AA02,10
2,95AA03,15
3,95AA04,10
4,95AA05,10
5,95AA06,15
6,95AA07,10
7,95AA08,15
8,95AA09,20
9,95AA10,10
10,95AA11,15
11,95AA12,10
12,95AA13,5
13,95AA14,5
14,95AA15,25
15,95AA16,20
16,95AA17,15
17,95AA18,5
18,95AA19,5
19,95BB01,10
20,95BB02,25
21,95BB03,15
22,95BB04,10
23,95BB05,5
24,95BB06,30
25,95BB07,20
26,95BB08,15
27,95BB09,15
28,95BB10,10
29,95BB11,10
30,95BB12,30
31,95BB13,25
32,95BB14,0
33,95BB15,15
34,95BB16,0
35,95BB17,20
36,95BB18,15
37,95BB19,20
38,95BB20,25
39,95BB21,30
40,95BB22,40
41,95BB23,15
42,95CC01,20
43,95CC02,5
44,95CC03,25
45,95CC04,10
46,95CC05,10
47,95CC06,5
48,95CC07,10
49,95CC08,15
50,95CC09,5
51,95CC10,10
52,95CC11,15
53,95CC12,0
54,95CC13,5
55,95CC14,10
56,95CC15,5
57,95CC16,10
58,95CC17,5
59,95CC18,15
60,95CC19,10
61,95CC20,5
62,95CC21,15
63,95CC22,15
64,95DD01,5
65,95DD02,10
66,95DD03,15
67,95DD04,35
68,95DD05,20
69,95DD06,5
70,95DD07,10
71,95DD08,10
72,95DD09,10
73,95DD10,15
74,95DD11,15
75,95DD12,5
76,95DD13,10
77,95DD14,10
78,95DD15,10
79,95DD16,10
80,95DD17,10
81,95DD18,10
82,95DD19,10
83,95DD20,20
84,95DD21,5
85,95DD22,5
86,95DD23,5
87,95DD24,5
88,95EE01,5
89,95EE02,10
90,95EE03,15
91,95EE04,10
92,95EE05,10
93,95EE06,5
94,95EE07,15
95,95EE08,5
96,95EE09,5
97,95EE10,10
98,95EE11,0
99,95EE12,20
100,95EE13,10
101,95EE14,15
102,95EE15,15
103,95EE16,10
104,95FF01,15
105,95FF02,5
106,95FF03,10
107,95FF04,0
108,95FF05,10
109,95FF06,5
110,95FF07,10
111,95FF08,5
112,95FF09,5
113,95FF10,10
114,95FF11,0
115,95FF12,5
116,95FF13,10
117,95FF14,0
118,95FF15,20
119,95FF16,10
120,95FF17,5
121,95GG01,20
122,95GG02,95
123,95GG03,20
124,95GG04,50
125,95GG05,35
126,95GG06,45
127,95GG07,65
128,95GG08,45
129,95GG09,20
130,95GG10,55
131,95GG11,35
132,95GG12,85
133,95GG13,25
134,95GG14,15
135,95GG15,15
136,95GG16,35
137,95GG17,55
138,95GG18,70
139,95GG19,70
140,95GG20,60
141,95GG21,65
142,95GG22,50
143,95GG23,5
144,95GG24,15
145,95GG25,50
146,95GG26,35
147,95GG27,60
148,95GG28,45
149,95GG29,50
150,95GG30,25
151,95GG31,50
152,95GG32,50
153,95GG33,10
154,95GG34,15
155,95GG35,60
156,95GG36,20
157,95GG37,25
158,95GG38,20
159,95GG39,70
160,95GG40,65
161,95GG41,10
162,95GG42,10
163,95GG43,10
164,95GG44,55
165,95GG45,15
166,95GG46,70
167,95GG47,100
168,95GG48,65
169,95GG49,45
170,95GG50,45
171,95GG51,70
172,95HH01,5
173,95HH02,15
174,95HH03,5
175,95HH04,15
176,95HH05,20
177,95HH06,20
178,95HH07,30
179,95HH08,15
180,95HH09,20
181,95HH10,5
182,95HH11,15
183,95HH12,10
184,95HH13,25
185,95HH14,15
186,95HH15,10
187,95HH16,5
188,95HH17,5
189,95II01,5
190,95II02,15
191,95II03,0
192,95II04,15
193,95II05,10
194,95II06,10
195,95II07,10
196,95II08,5
197,95II09,5
198,95II10,20
199,95II11,10
200,95II12,0
201,95II13,20
202,95II14,0
203,95II15,0
204,95II16,5
205,95II17,10
206,95II18,20
207,95II19,10
208,95II20,5
209,95II21,20
210,95II22,5
211,95II23,5
212,95JJ01,10
213,95JJ02,20
214,95JJ03,35
215,95JJ04,15
216,95JJ05,20
217,95JJ06,25
218,95JJ07,25
219,95JJ08,20
220,95JJ09,10
221,95JJ10,20
222,95JJ11,20
223,95JJ12,15
224,95JJ13,25
225,95JJ14,10
226,95JJ15,15
227,95JJ16,10
228,95JJ17,5
229,95JJ18,15
230,95JJ19,5
231,95JJ20,15
232,95JJ21,15
233,95JJ22,5
234,95KK01,10
235,95KK02,0
236,95KK03,0
237,95KK04,10
238,95KK05,5
239,95KK06,0
240,95KK07,5
241,95KK08,5
242,95KK09,5
243,95KK10,0
244,95KK11,10
245,95KK12,15
246,95KK13,5
247,95KK14,5
248,95KK15,5
249,95KK16,5
250,95LL01,15
251,95LL02,25
252,95LL03,15
253,95LL04,5
254,95LL05,10
255,95LL06,15
256,95LL07,30
257,95LL08,20
258,95LL09,20
259,95LL10,10
260,95LL11,10
261,95LL12,25
262,95LL13,15
263,95LL14,25
264,95LL15,10
265,95LL16,20
266,95LL17,15
267,95LL18,10
268,95LL19,10
269,95LL20,5
270,95LL21,20
271,95LL22,20
272,95LL23,10
273,95LL24,15
274,95LL25,15
275,95LL26,25
276,95MM01,60
277,95MM02,15
278,95MM03,20
279,95MM04,20
280,95MM05,35
281,95MM06,35
282,95MM07,35
283,95MM08,30
284,95MM09,15
285,95MM10,45
286,95MM11,50
287,95MM12,90
288,95MM13,100
289,95MM14,40
290,95MM15,25
291,95MM16,55
292,95MM17,35
293,95MM18,30
294,95MM19,25
295,95MM20,30
296,95MM21,25
297,95MM22,15
298,95MM23,45
299,95MM24,50
300,95MM25,90
301,95MM26,25
302,95MM27,100
303,95MM28,55
304,95MM29,65
305,95MM30,45
306,95NN01,15
307,95NN02,15
308,95NN03,20
309,95NN04,40
310,95NN05,15
311,95NN06,10
312,95NN07,25
313,95NN08,10
314,95NN09,10
315,95NN10,10
316,95NN11,15
317,95NN12,15
318,95NN13,5
319,95NN14,25
320,95NN15,30
321,95NN16,5
322,95NN17,25
323,95NN18,20
324,95NN19,10
325,95NN20,15
326,95NN21,10
