,GEOGRAPHY_CODE,final_total
0,95AA01,15
1,95AA02,15
2,95AA03,15
3,95AA04,0
4,95AA05,10
5,95AA06,20
6,95AA07,10
7,95AA08,15
8,95AA09,20
9,95AA10,15
10,95AA11,25
11,95AA12,10
12,95AA13,15
13,95AA14,10
14,95AA15,20
15,95AA16,10
16,95AA17,5
17,95AA18,5
18,95AA19,5
19,95BB01,10
20,95BB02,15
21,95BB03,20
22,95BB04,10
23,95BB05,10
24,95BB06,25
25,95BB07,15
26,95BB08,15
27,95BB09,10
28,95BB10,5
29,95BB11,20
30,95BB12,30
31,95BB13,40
32,95BB14,10
33,95BB15,15
34,95BB16,5
35,95BB17,20
36,95BB18,15
37,95BB19,15
38,95BB20,25
39,95BB21,20
40,95BB22,35
41,95BB23,10
42,95CC01,15
43,95CC02,10
44,95CC03,25
45,95CC04,10
46,95CC05,15
47,95CC06,10
48,95CC07,15
49,95CC08,20
50,95CC09,10
51,95CC10,0
52,95CC11,15
53,95CC12,5
54,95CC13,0
55,95CC14,5
56,95CC15,10
57,95CC16,15
58,95CC17,5
59,95CC18,10
60,95CC19,10
61,95CC20,10
62,95CC21,15
63,95CC22,10
64,95DD01,15
65,95DD02,15
66,95DD03,20
67,95DD04,40
68,95DD05,20
69,95DD06,0
70,95DD07,5
71,95DD08,20
72,95DD09,5
73,95DD10,20
74,95DD11,25
75,95DD12,5
76,95DD13,10
77,95DD14,10
78,95DD15,10
79,95DD16,10
80,95DD17,15
81,95DD18,15
82,95DD19,5
83,95DD20,15
84,95DD21,10
85,95DD22,10
86,95DD23,0
87,95DD24,10
88,95EE01,0
89,95EE02,20
90,95EE03,15
91,95EE04,5
92,95EE05,10
93,95EE06,5
94,95EE07,20
95,95EE08,5
96,95EE09,5
97,95EE10,10
98,95EE11,5
99,95EE12,15
100,95EE13,5
101,95EE14,15
102,95EE15,5
103,95EE16,10
104,95FF01,15
105,95FF02,15
106,95FF03,10
107,95FF04,5
108,95FF05,15
109,95FF06,15
110,95FF07,20
111,95FF08,15
112,95FF09,15
113,95FF10,15
114,95FF11,0
115,95FF12,10
116,95FF13,5
117,95FF14,5
118,95FF15,15
119,95FF16,5
120,95FF17,15
121,95GG01,30
122,95GG02,35
123,95GG03,20
124,95GG04,50
125,95GG05,25
126,95GG06,20
127,95GG07,50
128,95GG08,40
129,95GG09,30
130,95GG10,30
131,95GG11,35
132,95GG12,75
133,95GG13,15
134,95GG14,5
135,95GG15,10
136,95GG16,15
137,95GG17,15
138,95GG18,70
139,95GG19,45
140,95GG20,25
141,95GG21,65
142,95GG22,35
143,95GG23,5
144,95GG24,10
145,95GG25,35
146,95GG26,35
147,95GG27,55
148,95GG28,35
149,95GG29,45
150,95GG30,15
151,95GG31,45
152,95GG32,15
153,95GG33,5
154,95GG34,20
155,95GG35,20
156,95GG36,30
157,95GG37,20
158,95GG38,15
159,95GG39,70
160,95GG40,50
161,95GG41,10
162,95GG42,20
163,95GG43,25
164,95GG44,65
165,95GG45,10
166,95GG46,40
167,95GG47,35
168,95GG48,60
169,95GG49,40
170,95GG50,50
171,95GG51,60
172,95HH01,5
173,95HH02,15
174,95HH03,5
175,95HH04,15
176,95HH05,30
177,95HH06,20
178,95HH07,25
179,95HH08,10
180,95HH09,20
181,95HH10,5
182,95HH11,15
183,95HH12,5
184,95HH13,20
185,95HH14,15
186,95HH15,10
187,95HH16,5
188,95HH17,5
189,95II01,10
190,95II02,10
191,95II03,10
192,95II04,20
193,95II05,10
194,95II06,10
195,95II07,15
196,95II08,10
197,95II09,10
198,95II10,10
199,95II11,5
200,95II12,5
201,95II13,20
202,95II14,0
203,95II15,10
204,95II16,10
205,95II17,15
206,95II18,10
207,95II19,10
208,95II20,0
209,95II21,15
210,95II22,5
211,95II23,0
212,95JJ01,10
213,95JJ02,20
214,95JJ03,40
215,95JJ04,20
216,95JJ05,25
217,95JJ06,25
218,95JJ07,25
219,95JJ08,5
220,95JJ09,10
221,95JJ10,15
222,95JJ11,15
223,95JJ12,10
224,95JJ13,15
225,95JJ14,10
226,95JJ15,20
227,95JJ16,10
228,95JJ17,5
229,95JJ18,10
230,95JJ19,0
231,95JJ20,20
232,95JJ21,25
233,95JJ22,10
234,95KK01,5
235,95KK02,0
236,95KK03,5
237,95KK04,10
238,95KK05,15
239,95KK06,10
240,95KK07,5
241,95KK08,15
242,95KK09,15
243,95KK10,5
244,95KK11,15
245,95KK12,15
246,95KK13,5
247,95KK14,5
248,95KK15,10
249,95KK16,10
250,95LL01,10
251,95LL02,25
252,95LL03,20
253,95LL04,10
254,95LL05,15
255,95LL06,20
256,95LL07,30
257,95LL08,25
258,95LL09,40
259,95LL10,15
260,95LL11,15
261,95LL12,35
262,95LL13,25
263,95LL14,30
264,95LL15,10
265,95LL16,30
266,95LL17,15
267,95LL18,15
268,95LL19,15
269,95LL20,20
270,95LL21,20
271,95LL22,25
272,95LL23,10
273,95LL24,10
274,95LL25,10
275,95LL26,30
276,95MM01,45
277,95MM02,15
278,95MM03,20
279,95MM04,25
280,95MM05,30
281,95MM06,30
282,95MM07,30
283,95MM08,15
284,95MM09,25
285,95MM10,50
286,95MM11,40
287,95MM12,80
288,95MM13,85
289,95MM14,45
290,95MM15,25
291,95MM16,40
292,95MM17,35
293,95MM18,20
294,95MM19,25
295,95MM20,25
296,95MM21,25
297,95MM22,10
298,95MM23,40
299,95MM24,45
300,95MM25,105
301,95MM26,35
302,95MM27,80
303,95MM28,45
304,95MM29,45
305,95MM30,30
306,95NN01,25
307,95NN02,15
308,95NN03,10
309,95NN04,25
310,95NN05,20
311,95NN06,15
312,95NN07,35
313,95NN08,15
314,95NN09,5
315,95NN10,10
316,95NN11,20
317,95NN12,15
318,95NN13,10
319,95NN14,20
320,95NN15,30
321,95NN16,10
322,95NN17,20
323,95NN18,20
324,95NN19,15
325,95NN20,15
326,95NN21,10
327,95NN22,20
328,95NN23,15
329,95OO01,5
330,95OO02,0
331,95OO03,5
332,95OO04,10
333,95OO05,15
334,95OO06,10
335,95OO07,5
336,95OO08,10
337,95OO09,10
338,95OO10,15
339,95OO11,15
340,95OO12,15
341,95OO13,5
342,95OO14,10
343,95OO15,15
344,95OO16,5
345,95OO17,10
346,95OO18,15
347,95OO19,10
348,95OO20,10
349,95OO21,15
350,95OO22,10
351,95PP01,15
352,95PP02,10
353,95PP03,15
354,95PP04,10
355,95PP05,10
356,95PP06,25
357,95PP07,5
358,95PP08,10
359,95PP09,20
360,95PP10,5
361,95PP11,15
362,95PP12,10
363,95PP13,15
364,95PP14,15
365,95PP15,15
366,95PP16,15
367,95PP17,15
368,95PP18,15
369,95PP19,15
370,95PP20,20
371,95PP21,10
372,95PP22,15
373,95PP23,15
374,95QQ01,20
375,95QQ02,5
376,95QQ03,20
377,95QQ04,15
378,95QQ05,5
379,95QQ06,10
380,95QQ07,20
381,95QQ08,15
382,95QQ09,5
383,95QQ10,5
384,95QQ11,10
385,95QQ12,10
386,95QQ13,5
387,95QQ14,25
388,95QQ15,10
389,95RR01,30
390,95RR02,20
391,95RR03,25
392,95RR04,15
393,95RR05,25
394,95RR06,10
395,95RR07,10
396,95RR08,5
397,95RR09,30
398,95RR10,45
399,95RR11,10
400,95RR12,10
401,95RR13,20
402,95RR14,10
403,95RR15,10
404,95SS01,15
405,95SS02,10
406,95SS03,10
407,95SS04,35
408,95SS05,10
409,95SS06,70
410,95SS07,55
411,95SS08,5
412,95SS09,0
413,95SS10,25
414,95SS11,15
415,95SS12,5
416,95SS13,25
417,95SS14,15
418,95SS15,10
419,95SS16,25
420,95SS17,15
421,95SS18,20
422,95SS19,20
423,95SS20,5
424,95SS21,15
425,95SS22,5
426,95SS23,10
427,95SS24,20
428,95SS25,15
429,95SS26,30
430,95SS27,10
431,95SS28,20
432,95SS29,25
433,95SS30,5
434,95TT01,10
435,95TT02,15
436,95TT03,10
437,95TT04,10
438,95TT05,20
439,95TT06,15
440,95TT07,5
441,95TT08,10
442,95TT09,10
443,95TT10,10
444,95TT11,10
445,95TT12,10
446,95TT13,35
447,95TT14,15
448,95TT15,10
449,95TT16,10
450,95UU01,5
451,95UU02,0
452,95UU03,0
453,95UU04,15
454,95UU05,0
455,95UU06,10
456,95UU07,0
457,95UU08,5
458,95UU09,0
459,95UU10,0
460,95UU11,0
461,95UU12,15
462,95UU13,0
463,95UU14,15
464,95UU15,5
465,95VV01,15
466,95VV02,20
467,95VV03,20
468,95VV04,5
469,95VV05,5
470,95VV06,15
471,95VV07,20
472,95VV08,15
473,95VV09,15
474,95VV10,25
475,95VV11,10
476,95VV12,15
477,95VV13,10
478,95VV14,20
479,95VV15,35
480,95VV16,15
481,95VV17,25
482,95VV18,30
483,95VV19,25
484,95VV20,5
485,95VV21,15
486,95VV22,20
487,95VV23,10
488,95VV24,15
489,95VV25,15
490,95VV26,10
491,95VV27,5
492,95VV28,20
493,95VV29,0
494,95VV30,10
495,95WW01,10
496,95WW02,25
497,95WW03,15
498,95WW04,10
499,95WW05,10
500,95WW06,10
501,95WW07,10
502,95WW08,5
503,95WW09,10
504,95WW10,20
505,95WW11,5
506,95WW12,25
507,95WW13,5
508,95WW14,25
509,95WW15,10
510,95WW16,30
511,95WW17,15
512,95WW18,5
513,95WW19,25
514,95WW20,25
515,95WW21,40
516,95WW22,10
517,95WW23,10
518,95WW24,40
519,95WW25,10
520,95XX01,15
521,95XX02,0
522,95XX03,10
523,95XX04,10
524,95XX05,10
525,95XX06,30
526,95XX07,15
527,95XX08,0
528,95XX09,15
529,95XX10,30
530,95XX11,30
531,95XX12,5
532,95XX13,5
533,95XX14,0
534,95XX15,25
535,95XX16,0
536,95XX17,45
537,95XX18,10
538,95XX19,5
539,95XX20,15
540,95XX21,0
541,95XX22,15
542,95XX23,15
543,95XX24,10
544,95XX25,20
545,95YY01,10
546,95YY02,15
547,95YY03,10
548,95YY04,20
549,95YY05,15
550,95YY06,15
551,95YY07,15
552,95YY08,10
553,95YY09,10
554,95YY10,5
555,95YY11,20
556,95YY12,5
557,95YY13,15
558,95YY14,20
559,95YY15,35
560,95YY16,5
561,95YY17,10
562,95YY18,10
563,95YY19,10
564,95YY20,10
565,95YY21,5
566,95ZZ01,20
567,95ZZ02,20
568,95ZZ03,20
569,95ZZ04,10
570,95ZZ05,15
571,95ZZ06,40
572,95ZZ07,25
573,95ZZ08,15
574,95ZZ09,20
575,95ZZ10,40
576,95ZZ11,5
577,95ZZ12,30
578,95ZZ13,20
579,95ZZ14,25
580,95ZZ15,15
581,95ZZ16,40
582,E36000001,140
583,E36000002,115
584,E36000003,130
585,E36000004,5
586,E36000005,35
587,E36000006,80
588,E36000007,100
589,E36000008,15
590,E36000009,25
591,E36000010,125
592,E36000011,30
593,E36000012,80
594,E36000013,50
595,E36000014,35
596,E36000015,75
597,E36000016,170
598,E36000017,45
599,E36000018,40
600,E36000019,75
601,E36000020,75
602,E36000021,70
603,E36000022,20
604,E36000023,80
605,E36000024,50
606,E36000025,220
607,E36000026,75
608,E36000027,20
609,E36000028,55
610,E36000029,65
611,E36000030,5
612,E36000031,15
613,E36000032,125
614,E36000033,155
615,E36000034,5
616,E36000035,100
617,E36000036,55
618,E36000037,105
619,E36000038,15
620,E36000039,150
621,E36000040,115
622,E36000041,80
623,E36000042,95
624,E36000043,70
625,E36000044,85
626,E36000045,135
627,E36000046,65
628,E36000047,30
629,E36000048,75
630,E36000049,25
631,E36000050,70
632,E36000051,25
633,E36000052,35
634,E36000053,50
635,E36000054,20
636,E36000055,25
637,E36000056,70
638,E36000057,115
639,E36000058,35
640,E36000059,65
641,E36000060,25
642,E36000061,20
643,E36000062,15
644,E36000063,80
645,E36000064,105
646,E36000065,35
647,E36000066,70
648,E36000067,15
649,E36000068,30
650,E36000069,35
651,E36000070,20
652,E36000071,35
653,E36000072,115
654,E36000073,15
655,E36000074,35
656,E36000075,35
657,E36000076,190
658,E36000077,160
659,E36000078,5
660,E36000079,65
661,E36000080,75
