,GEOGRAPHY_CODE,final_total
0,95AA01,5
1,95AA02,20
2,95AA03,5
3,95AA04,10
4,95AA05,10
5,95AA06,15
6,95AA07,10
7,95AA08,10
8,95AA09,15
9,95AA10,15
10,95AA11,15
11,95AA12,10
12,95AA13,5
13,95AA14,5
14,95AA15,15
15,95AA16,10
16,95AA17,5
17,95AA18,0
18,95AA19,5
19,95BB01,15
20,95BB02,25
21,95BB03,30
22,95BB04,10
23,95BB05,10
24,95BB06,40
25,95BB07,15
26,95BB08,15
27,95BB09,10
28,95BB10,15
29,95BB11,15
30,95BB12,30
31,95BB13,35
32,95BB14,5
33,95BB15,10
34,95BB16,10
35,95BB17,20
36,95BB18,15
37,95BB19,20
38,95BB20,25
39,95BB21,20
40,95BB22,35
41,95BB23,10
42,95CC01,15
43,95CC02,10
44,95CC03,25
45,95CC04,15
46,95CC05,10
47,95CC06,10
48,95CC07,15
49,95CC08,20
50,95CC09,15
51,95CC10,10
52,95CC11,10
53,95CC12,5
54,95CC13,5
55,95CC14,5
56,95CC15,15
57,95CC16,10
58,95CC17,10
59,95CC18,5
60,95CC19,5
61,95CC20,10
62,95CC21,15
63,95CC22,15
64,95DD01,5
65,95DD02,5
66,95DD03,10
67,95DD04,30
68,95DD05,15
69,95DD06,5
70,95DD07,15
71,95DD08,20
72,95DD09,5
73,95DD10,15
74,95DD11,20
75,95DD12,5
76,95DD13,10
77,95DD14,15
78,95DD15,10
79,95DD16,10
80,95DD17,15
81,95DD18,15
82,95DD19,10
83,95DD20,15
84,95DD21,5
85,95DD22,10
86,95DD23,0
87,95DD24,10
88,95EE01,5
89,95EE02,15
90,95EE03,20
91,95EE04,5
92,95EE05,5
93,95EE06,10
94,95EE07,15
95,95EE08,10
96,95EE09,5
97,95EE10,5
98,95EE11,5
99,95EE12,15
100,95EE13,10
101,95EE14,15
102,95EE15,5
103,95EE16,10
104,95FF01,15
105,95FF02,0
106,95FF03,5
107,95FF04,5
108,95FF05,10
109,95FF06,10
110,95FF07,15
111,95FF08,10
112,95FF09,15
113,95FF10,10
114,95FF11,5
115,95FF12,5
116,95FF13,10
117,95FF14,0
118,95FF15,10
119,95FF16,10
120,95FF17,15
121,95GG01,25
122,95GG02,90
123,95GG03,10
124,95GG04,55
125,95GG05,35
126,95GG06,45
127,95GG07,65
128,95GG08,50
129,95GG09,20
130,95GG10,45
131,95GG11,40
132,95GG12,70
133,95GG13,25
134,95GG14,25
135,95GG15,15
136,95GG16,40
137,95GG17,45
138,95GG18,55
139,95GG19,65
140,95GG20,55
141,95GG21,50
142,95GG22,40
143,95GG23,10
144,95GG24,10
145,95GG25,40
146,95GG26,30
147,95GG27,65
148,95GG28,35
149,95GG29,45
150,95GG30,25
151,95GG31,35
152,95GG32,50
153,95GG33,10
154,95GG34,25
155,95GG35,55
156,95GG36,20
157,95GG37,25
158,95GG38,25
159,95GG39,70
160,95GG40,45
161,95GG41,5
162,95GG42,15
163,95GG43,25
164,95GG44,55
165,95GG45,15
166,95GG46,55
167,95GG47,85
168,95GG48,60
169,95GG49,65
170,95GG50,50
171,95GG51,60
172,95HH01,10
173,95HH02,10
174,95HH03,5
175,95HH04,15
176,95HH05,20
177,95HH06,20
178,95HH07,25
179,95HH08,5
180,95HH09,20
181,95HH10,5
182,95HH11,15
183,95HH12,10
184,95HH13,25
185,95HH14,15
186,95HH15,15
187,95HH16,5
188,95HH17,5
189,95II01,5
190,95II02,25
191,95II03,10
192,95II04,25
193,95II05,15
194,95II06,10
195,95II07,10
196,95II08,5
197,95II09,5
198,95II10,15
199,95II11,5
200,95II12,0
201,95II13,15
202,95II14,5
203,95II15,5
204,95II16,15
205,95II17,15
206,95II18,15
207,95II19,10
208,95II20,10
209,95II21,10
210,95II22,5
211,95II23,5
212,95JJ01,10
213,95JJ02,20
214,95JJ03,45
215,95JJ04,20
216,95JJ05,25
217,95JJ06,25
218,95JJ07,25
219,95JJ08,15
220,95JJ09,5
221,95JJ10,20
222,95JJ11,20
223,95JJ12,15
224,95JJ13,25
225,95JJ14,10
226,95JJ15,20
227,95JJ16,10
228,95JJ17,5
229,95JJ18,10
230,95JJ19,5
231,95JJ20,20
232,95JJ21,20
233,95JJ22,10
234,95KK01,10
235,95KK02,0
236,95KK03,0
237,95KK04,10
238,95KK05,5
239,95KK06,5
240,95KK07,5
241,95KK08,5
242,95KK09,15
243,95KK10,5
244,95KK11,15
245,95KK12,10
246,95KK13,0
247,95KK14,5
248,95KK15,5
249,95KK16,5
250,95LL01,20
251,95LL02,15
252,95LL03,15
253,95LL04,10
254,95LL05,5
255,95LL06,25
256,95LL07,25
257,95LL08,25
258,95LL09,25
259,95LL10,20
260,95LL11,10
261,95LL12,35
262,95LL13,25
263,95LL14,20
264,95LL15,15
265,95LL16,30
266,95LL17,20
267,95LL18,15
268,95LL19,15
269,95LL20,15
270,95LL21,25
271,95LL22,25
272,95LL23,15
273,95LL24,5
274,95LL25,10
275,95LL26,20
276,95MM01,60
277,95MM02,10
278,95MM03,25
279,95MM04,25
280,95MM05,40
281,95MM06,30
282,95MM07,30
283,95MM08,35
284,95MM09,30
285,95MM10,55
286,95MM11,50
287,95MM12,110
288,95MM13,90
289,95MM14,40
290,95MM15,20
291,95MM16,50
292,95MM17,35
293,95MM18,25
294,95MM19,25
295,95MM20,35
296,95MM21,30
297,95MM22,15
298,95MM23,45
299,95MM24,50
300,95MM25,125
301,95MM26,40
302,95MM27,80
303,95MM28,55
304,95MM29,65
305,95MM30,35
306,95NN01,25
307,95NN02,10
308,95NN03,10
309,95NN04,40
310,95NN05,15
311,95NN06,15
312,95NN07,25
313,95NN08,10
314,95NN09,10
315,95NN10,10
316,95NN11,15
317,95NN12,20
318,95NN13,10
319,95NN14,20
320,95NN15,30
321,95NN16,5
322,95NN17,20
323,95NN18,15
324,95NN19,5
325,95NN20,5
326,95NN21,10
327,95NN22,10
328,95NN23,20
329,95OO01,5
330,95OO02,5
331,95OO03,5
332,95OO04,10
333,95OO05,20
334,95OO06,10
335,95OO07,0
336,95OO08,10
337,95OO09,10
338,95OO10,10
339,95OO11,20
340,95OO12,20
341,95OO13,10
342,95OO14,10
343,95OO15,10
344,95OO16,5
345,95OO17,10
346,95OO18,15
347,95OO19,10
348,95OO20,10
349,95OO21,10
350,95OO22,5
351,95PP01,5
352,95PP02,5
353,95PP03,15
354,95PP04,15
355,95PP05,10
356,95PP06,20
357,95PP07,10
358,95PP08,5
359,95PP09,20
360,95PP10,10
361,95PP11,20
362,95PP12,0
363,95PP13,15
364,95PP14,15
365,95PP15,15
366,95PP16,10
367,95PP17,15
368,95PP18,10
369,95PP19,10
370,95PP20,20
371,95PP21,10
372,95PP22,10
373,95PP23,5
374,95QQ01,20
375,95QQ02,10
376,95QQ03,10
377,95QQ04,5
378,95QQ05,10
379,95QQ06,5
