,GEOGRAPHY_CODE,final_total
0,95AA01,5
1,95AA02,20
2,95AA03,15
3,95AA04,10
4,95AA05,10
5,95AA06,20
6,95AA07,5
7,95AA08,15
8,95AA09,25
9,95AA10,15
10,95AA11,25
11,95AA12,10
12,95AA13,5
13,95AA14,5
14,95AA15,25
15,95AA16,15
16,95AA17,10
17,95AA18,5
18,95AA19,5
19,95BB01,10
20,95BB02,30
21,95BB03,20
22,95BB04,15
23,95BB05,10
24,95BB06,35
25,95BB07,25
26,95BB08,10
27,95BB09,10
28,95BB10,10
29,95BB11,15
30,95BB12,30
31,95BB13,30
32,95BB14,5
33,95BB15,15
34,95BB16,0
35,95BB17,25
36,95BB18,15
37,95BB19,20
38,95BB20,25
39,95BB21,25
40,95BB22,45
41,95BB23,10
42,95CC01,20
43,95CC02,0
44,95CC03,25
45,95CC04,10
46,95CC05,10
47,95CC06,10
48,95CC07,10
49,95CC08,20
50,95CC09,0
51,95CC10,20
52,95CC11,15
53,95CC12,5
54,95CC13,5
55,95CC14,10
56,95CC15,5
57,95CC16,10
58,95CC17,10
59,95CC18,15
60,95CC19,5
61,95CC20,10
62,95CC21,20
63,95CC22,10
64,95DD01,10
65,95DD02,15
66,95DD03,10
67,95DD04,30
68,95DD05,15
69,95DD06,5
70,95DD07,10
71,95DD08,20
72,95DD09,5
73,95DD10,15
74,95DD11,20
75,95DD12,5
76,95DD13,15
77,95DD14,10
78,95DD15,5
79,95DD16,10
80,95DD17,5
81,95DD18,15
82,95DD19,10
83,95DD20,20
84,95DD21,5
85,95DD22,10
86,95DD23,5
87,95DD24,10
88,95EE01,5
89,95EE02,10
90,95EE03,20
91,95EE04,10
92,95EE05,10
93,95EE06,5
94,95EE07,10
95,95EE08,5
96,95EE09,10
97,95EE10,5
98,95EE11,10
99,95EE12,20
100,95EE13,10
101,95EE14,15
102,95EE15,15
103,95EE16,10
104,95FF01,15
105,95FF02,5
106,95FF03,10
107,95FF04,0
108,95FF05,15
109,95FF06,10
110,95FF07,20
111,95FF08,5
112,95FF09,10
113,95FF10,15
114,95FF11,0
115,95FF12,10
116,95FF13,10
117,95FF14,0
118,95FF15,15
119,95FF16,15
120,95FF17,10
121,95GG01,30
122,95GG02,90
123,95GG03,25
124,95GG04,50
125,95GG05,35
126,95GG06,45
127,95GG07,65
128,95GG08,45
129,95GG09,20
130,95GG10,60
131,95GG11,45
132,95GG12,85
133,95GG13,25
134,95GG14,15
135,95GG15,15
136,95GG16,40
137,95GG17,45
138,95GG18,70
139,95GG19,70
140,95GG20,65
141,95GG21,60
142,95GG22,45
143,95GG23,15
144,95GG24,20
145,95GG25,60
146,95GG26,35
147,95GG27,55
148,95GG28,45
149,95GG29,50
150,95GG30,20
151,95GG31,50
152,95GG32,50
153,95GG33,10
154,95GG34,15
155,95GG35,50
156,95GG36,25
157,95GG37,25
158,95GG38,20
159,95GG39,75
160,95GG40,55
161,95GG41,10
162,95GG42,15
163,95GG43,20
164,95GG44,60
165,95GG45,20
166,95GG46,70
167,95GG47,110
168,95GG48,70
169,95GG49,45
170,95GG50,50
171,95GG51,65
172,95HH01,5
173,95HH02,10
174,95HH03,5
175,95HH04,15
176,95HH05,15
177,95HH06,25
178,95HH07,25
179,95HH08,10
180,95HH09,20
181,95HH10,10
182,95HH11,15
183,95HH12,15
184,95HH13,15
185,95HH14,15
186,95HH15,10
187,95HH16,5
188,95HH17,10
189,95II01,5
190,95II02,20
191,95II03,5
192,95II04,20
193,95II05,10
194,95II06,10
195,95II07,15
196,95II08,5
197,95II09,5
198,95II10,20
199,95II11,5
200,95II12,5
201,95II13,20
202,95II14,5
203,95II15,10
204,95II16,10
205,95II17,15
206,95II18,15
207,95II19,5
208,95II20,10
209,95II21,20
210,95II22,5
211,95II23,5
212,95JJ01,10
213,95JJ02,20
214,95JJ03,45
215,95JJ04,20
216,95JJ05,20
217,95JJ06,25
218,95JJ07,30
219,95JJ08,20
220,95JJ09,5
221,95JJ10,20
222,95JJ11,20
223,95JJ12,10
224,95JJ13,25
225,95JJ14,10
226,95JJ15,20
227,95JJ16,10
228,95JJ17,5
229,95JJ18,15
230,95JJ19,0
231,95JJ20,15
232,95JJ21,15
233,95JJ22,10
234,95KK01,5
235,95KK02,0
236,95KK03,0
237,95KK04,10
238,95KK05,5
239,95KK06,10
240,95KK07,0
241,95KK08,10
242,95KK09,5
243,95KK10,0
244,95KK11,15
245,95KK12,15
246,95KK13,0
247,95KK14,5
248,95KK15,0
249,95KK16,5
250,95LL01,15
251,95LL02,25
252,95LL03,20
253,95LL04,15
254,95LL05,10
255,95LL06,20
256,95LL07,25
257,95LL08,20
258,95LL09,35
259,95LL10,15
260,95LL11,10
261,95LL12,35
262,95LL13,20
263,95LL14,25
264,95LL15,10
265,95LL16,20
266,95LL17,20
267,95LL18,15
268,95LL19,15
269,95LL20,15
270,95LL21,25
271,95LL22,15
272,95LL23,20
273,95LL24,15
274,95LL25,10
275,95LL26,20
276,95MM01,60
277,95MM02,15
278,95MM03,15
279,95MM04,15
280,95MM05,40
281,95MM06,35
282,95MM07,35
283,95MM08,25
284,95MM09,15
285,95MM10,50
286,95MM11,45
287,95MM12,85
288,95MM13,95
289,95MM14,35
290,95MM15,25
291,95MM16,45
292,95MM17,35
293,95MM18,25
294,95MM19,25
295,95MM20,30
296,95MM21,25
297,95MM22,15
298,95MM23,45
299,95MM24,55
300,95MM25,95
301,95MM26,25
302,95MM27,95
303,95MM28,55
304,95MM29,55
305,95MM30,50
306,95NN01,20
307,95NN02,10
308,95NN03,15
309,95NN04,40
310,95NN05,15
311,95NN06,20
312,95NN07,25
313,95NN08,10
314,95NN09,5
315,95NN10,15
316,95NN11,15
317,95NN12,15
318,95NN13,10
319,95NN14,25
320,95NN15,30
321,95NN16,5
322,95NN17,20
323,95NN18,20
324,95NN19,10
325,95NN20,10
326,95NN21,10
327,95NN22,10
328,95NN23,10
329,95OO01,5
330,95OO02,5
331,95OO03,0
332,95OO04,0
333,95OO05,15
334,95OO06,5
335,95OO07,5
336,95OO08,0
337,95OO09,5
338,95OO10,15
339,95OO11,15
340,95OO12,15
341,95OO13,10
342,95OO14,5
343,95OO15,5
344,95OO16,0
345,95OO17,5
346,95OO18,10
347,95OO19,10
348,95OO20,10
349,95OO21,15
350,95OO22,15
351,95PP01,10
352,95PP02,5
353,95PP03,5
354,95PP04,15
355,95PP05,0
356,95PP06,25
357,95PP07,10
358,95PP08,5
359,95PP09,20
360,95PP10,0
361,95PP11,15
362,95PP12,0
363,95PP13,15
364,95PP14,20
365,95PP15,10
366,95PP16,0
367,95PP17,10
368,95PP18,10
369,95PP19,10
370,95PP20,15
371,95PP21,10
372,95PP22,15
373,95PP23,10
374,95QQ01,25
375,95QQ02,5
376,95QQ03,15
377,95QQ04,10
378,95QQ05,15
379,95QQ06,15
