GEOGRAPHY_CODE,total
95UU03,0
95UU04,15
95UU05,0
95UU06,10
95UU07,0
95UU08,5
95UU09,0
95UU10,0
95UU11,0
95UU12,15
95UU13,0
95UU14,15
95UU15,5
95VV01,15
95VV02,20
95VV03,20
95VV04,5
95VV05,5
95VV06,15
95VV07,20
95VV08,15
95VV09,15
95VV10,25
95VV11,10
95VV12,15
95VV13,10
95VV14,20
95VV15,35
95VV16,15
95VV17,25
95VV18,30
95VV19,25
95VV20,5
95VV21,15
95VV22,20
95VV23,10
95VV24,15
95VV25,15
95VV26,10
95VV27,5
95VV28,20
95VV29,0
95VV30,10
95WW01,10
95WW02,25
95WW03,15
95WW04,10
95WW05,10
95WW06,10
95WW07,10
95WW08,5
95WW09,10
95WW10,20
95WW11,5
95WW12,25
95WW13,5
95WW14,25
95WW15,10
95WW16,30
95WW17,15
95WW18,5
95WW19,25
95WW20,25
95WW21,40
95WW22,10
95WW23,10
95WW24,40
95WW25,10
95XX01,15
95XX02,0
95XX03,10
95XX04,10
95XX05,10
95XX06,30
95XX07,15
95XX08,0
95XX09,15
95XX10,30
95XX11,30
95XX12,5
95XX13,5
95XX14,0
95XX15,25
95XX16,0
95XX17,45
95XX18,10
95XX19,5
95XX20,15
95XX21,0
95XX22,15
95XX23,15
95XX24,10
95XX25,20
95YY01,10
95YY02,15
95YY03,10
95YY04,20
95YY05,15
95YY06,15
95YY07,15
95YY08,10
95YY09,10
95YY10,5
95YY11,20
95YY12,5
95YY13,15
95YY14,20
95YY15,35
95YY16,5
95YY17,10
95YY18,10
95YY19,10
95YY20,10
95YY21,5
95ZZ01,20
95ZZ02,20
95ZZ03,20
95ZZ04,10
95ZZ05,15
95ZZ06,40
95ZZ07,25
95ZZ08,15
95ZZ09,20
95ZZ10,40
95ZZ11,5
95ZZ12,30
95ZZ13,20
95ZZ14,25
95ZZ15,15
95ZZ16,40
E36000001,140
E36000002,115
E36000003,130
E36000004,5
E36000005,35
E36000006,80
E36000007,100
E36000008,15
E36000009,25
E36000010,125
E36000011,30
E36000012,80
E36000013,50
E36000014,35
E36000015,75
E36000016,170
E36000017,45
E36000018,40
E36000019,75
E36000020,75
E36000021,70
E36000022,20
E36000023,80
E36000024,50
E36000025,220
E36000026,75
E36000027,20
E36000028,55
E36000029,65
E36000030,5
E36000031,15
E36000032,125
E36000033,155
E36000034,5
E36000035,100
E36000036,55
E36000037,105
E36000038,15
E36000039,150
E36000040,115
E36000041,80
E36000042,95
E36000043,70
E36000044,85
E36000045,135
E36000046,65
E36000047,30
E36000048,75
E36000049,25
E36000050,70
E36000051,25
E36000052,35
E36000053,50
E36000054,20
E36000055,25
E36000056,70
E36000057,115
E36000058,35
E36000059,65
E36000060,25
E36000061,20
E36000062,15
E36000063,80
E36000064,105
E36000065,35
E36000066,70
E36000067,15
E36000068,30
E36000069,35
E36000070,20
E36000071,35
E36000072,115
E36000073,15
E36000074,35
E36000075,35
E36000076,190
E36000077,160
E36000078,5
E36000079,65
E36000080,75
E36000081,15
E36000082,185
E36000083,105
E36000084,80
E36000085,215
E36000086,50
E36000087,15
E36000088,30
E36000089,55
E36000090,120
E36000091,25
E36000092,55
E36000093,10
E36000094,65
E36000095,5
E36000096,25
E36000097,60
E36000098,20
E36000099,30
E36000100,10
E36000101,5
E36000102,15
E36000103,65
E36000104,40
E36000105,15
E36000106,5
E36000107,110
E36000108,90
E36000109,85
E36000110,15
E36000111,55
E36000112,10
E36000113,65
E36000114,10
E36000115,15
E36000116,40
E36000117,10
E36000118,70
E36000119,20
E36000120,100
E36000121,0
E36000122,70
E36000123,80
E36000124,90
E36000125,60
E36000126,25
E36000127,85
E36000128,80
E36000129,70
E36000130,45
E36000131,80
E36000132,75
E36000133,40
E36000134,10
E36000135,140
E36000136,55
E36000137,25
E36000138,20
E36000139,130
E36000140,15
E36000141,20
E36000142,40
E36000143,5
E36000144,95
E36000145,35
E36000146,25
E36000147,90
E36000148,15
E36000149,125
E36000150,65
E36000151,15
E36000152,20
E36000153,10
E36000154,15
E36000155,45
E36000156,100
E36000157,80
E36000158,15
E36000159,65
E36000160,50
E36000161,0
E36000162,95
E36000163,15
E36000164,80
E36000165,65
E36000166,25
E36000167,30
E36000168,60
E36000169,95
E36000170,5
E36000171,75
E36000172,30
E36000173,130
E36000174,70
E36000175,110
E36000176,60
E36000177,140
E36000178,15
E36000179,25
E36000180,20
E36000181,180
E36000182,115
E36000183,185
E36000184,55
E36000185,40
E36000186,60
E36000187,25
E36000188,55
E36000189,55
E36000190,25
E36000191,10
E36000192,110
E36000193,30
E36000194,20
E36000195,145
E36000196,60
E36000197,75
E36000198,55
E36000199,115
E36000200,130
E36000201,30
E36000202,60
E36000203,170
E36000204,150
E36000205,30
E36000206,70
E36000207,130
E36000208,65
E36000209,70
E36000210,40
E36000211,155
E36000212,235
E36000213,325
E36000214,150
E36000215,145
E36000216,245
E36000217,140
E36000218,125
E36000219,80
E36000220,160
E36000221,85
E36000222,95
E36000223,25
E36000224,80
E36000225,40
E36000226,185
E36000227,15
E36000228,30
E36000229,35
E36000230,65
E36000231,30
E36000232,65
E36000233,120
E36000234,70
E36000235,20
E36000236,30
E36000237,35
E36000238,75
E36000239,45
E36000240,25
E36000241,35
E36000242,90
E36000243,20
E36000244,45
E36000245,40
E36000246,55
E36000247,35
E36000248,30
E36000249,105
E36000250,255
E36000251,70
E36000252,25
E36000253,170
E36000254,30
E36000255,85
E36000256,75
E36000257,40
E36000258,155
E36000259,220
E36000260,10
E36000261,165
E36000262,15
E36000263,90
E36000264,105
E36000265,25
E36000266,45
E36000267,25
E36000268,85
E36000269,30
E36000270,50
E36000271,30
E36000272,195
E36000273,20
E36000274,70
E36000275,160
E36000276,35
E36000277,115
E36000278,80
E36000279,35
E36000280,100
E36000281,25
E36000282,5
E36000283,60
E36000284,10
E36000285,30
E36000286,20
E36000287,0
E36000288,50
E36000289,10
E36000290,0
E36000291,70
E36000292,5
E36000293,50
E36000294,40
E36000295,30
E36000296,40
E36000297,0
E36000298,15
E36000299,25
E36000300,5
E36000301,75
E36000302,5
E36000303,175
E36000304,20
E36000305,170
E36000306,305
E36000307,55
E36000308,100
E36000309,80
E36000310,45
E36000311,110
E36000312,145
E36000313,25
E36000314,120
E36000315,25
E36000316,190
E36000317,40
E36000318,165
E36000319,50
E36000320,125
E36000321,95
E36000322,175
E36000323,45
E36000324,180
E36000325,185
E36000326,90
E36000327,90
E36000328,55
E36000329,115
E36000330,110
E36000331,120
E36000332,130
E36000333,60
E36000334,45
E36000335,210
E36000336,55
E36000337,170
E36000338,145
E36000339,55
E36000340,105
E36000341,70
E36000342,0
E36000343,5
E36000344,0
E36000345,5
E36000346,0
E36000347,0
E36000348,0
E36000349,0
E36000350,10
E36000351,5
E36000352,10
E36000353,5
E36000354,5
E36000355,15
E36000356,10
E36000357,0
E36000358,225
E36000359,325
E36000360,175
E36000361,285
E36000362,245
E36000363,205
E36000364,155
E36000365,285
E36000366,105
E36000367,95
E36000368,125
E36000369,195
E36000370,30
E36000371,90
E36000372,125
E36000373,165
E36000374,140
E36000375,265
E36000376,30
E36000377,45
E36000378,25
E36000379,5
E36000380,75
E36000381,5
E36000382,0
E36000383,15
E36000384,5
E36000385,5
E36000386,20
E36000387,10
E36000388,5
E36000389,10
E36000390,5
E36000391,0
E36000392,10
E36000393,5
E36000394,0
E36000395,15
E36000396,5
E36000397,15
E36000398,20
E36000399,40
E36000400,40
E36000401,5
E36000402,5
E36000403,10
E36000404,10
E36000405,5
E36000406,5
E36000407,20
E36000408,25
E36000409,85
E36000410,35
E36000411,10
E36000412,5
E36000413,40
E36000414,25
E36000415,5
E36000416,10
E36000417,0
E36000418,5
E36000419,15
E36000420,100
E36000421,5
E36000422,20
E36000423,70
E36000424,70
E36000425,50
E36000426,5
E36000427,0
E36000428,10
E36000429,5
E36000430,70
E36000431,30
E36000432,25
E36000433,5
E36000434,70
E36000435,35
E36000436,30
E36000437,90
E36000438,35
E36000439,5
E36000440,5
E36000441,5
E36000442,15
E36000443,10
E36000444,25
E36000445,10
E36000446,40
E36000447,100
E36000448,135
E36000449,15
E36000450,35
E36000451,105
E36000452,95
E36000453,125
E36000454,105
E36000455,30
E36000456,70
E36000457,60
E36000458,55
E36000459,25
E36000460,90
E36000461,55
E36000462,35
E36000463,20
E36000464,105
E36000465,75
E36000466,60
E36000467,65
E36000468,45
E36000469,70
E36000470,20
E36000471,60
E36000472,45
E36000473,40
E36000474,145
E36000475,45
E36000476,75
E36000477,15
E36000478,70
E36000479,5
E36000480,70
E36000481,65
E36000482,50
E36000483,65
E36000484,20
E36000485,40
E36000486,60
E36000487,25
E36000488,35
E36000489,10
E36000490,0
E36000491,5
E36000492,0
E36000493,0
E36000494,5
E36000495,5
E36000496,30
E36000497,0
E36000498,10
E36000499,10
E36000500,25
E36000501,30
E36000502,25
E36000503,10
E36000504,10
E36000505,5
E36000506,10
E36000507,20
E36000508,20
E36000509,10
E36000510,35
E36000511,20
E36000512,25
E36000513,35
E36000514,10
E36000515,40
E36000516,5
E36000517,40
E36000518,5
E36000519,70
E36000520,25
E36000521,30
E36000522,25
E36000523,15
E36000524,20
E36000525,135
E36000526,85
E36000527,50
E36000528,40
E36000529,80
E36000530,65
E36000531,35
E36000532,90
E36000533,25
E36000534,15
E36000535,25
E36000536,90
E36000537,80
E36000538,145
E36000539,50
E36000540,115
E36000541,70
E36000542,45
E36000543,10
E36000544,80
E36000545,65
E36000546,85
E36000547,55
E36000548,265
E36000549,95
E36000550,25
E36000551,100
E36000552,80
E36000553,50
E36000554,70
E36000555,50
E36000556,15
E36000557,10
E36000558,110
E36000559,95
E36000560,10
E36000561,35
E36000562,5
E36000563,10
E36000564,15
E36000565,0
E36000566,5
E36000567,0
E36000568,10
E36000569,5
E36000570,10
E36000571,0
E36000572,5
E36000573,15
E36000574,10
E36000575,10
E36000576,25
E36000577,15
E36000578,5
E36000579,0
E36000580,5
E36000581,0
E36000582,10
E36000583,15
E36000584,110
E36000585,50
E36000586,80
E36000587,35
E36000588,40
E36000589,165
E36000590,50
E36000591,55
E36000592,5
E36000593,15
E36000594,0
E36000595,25
E36000596,10
E36000597,10
E36000598,10
E36000599,15
E36000600,0
E36000601,20
E36000602,10
E36000603,10
E36000604,5
E36000605,35
E36000606,15
E36000607,30
E36000608,50
E36000609,20
E36000610,30
E36000611,20
E36000612,60
E36000613,5
E36000614,10
E36000615,20
E36000616,30
E36000617,65
E36000618,10
E36000619,30
E36000620,0
E36000621,25
E36000622,50
E36000623,35
E36000624,15
E36000625,25
E36000626,5
E36000627,15
E36000628,45
E36000629,40
E36000630,35
E36000631,95
E36000632,80
E36000633,205
E36000634,90
E36000635,155
E36000636,35
E36000637,110
E36000638,125
E36000639,40
E36000640,30
E36000641,25
E36000642,25
E36000643,30
E36000644,35
E36000645,30
E36000646,90
E36000647,125
E36000648,250
E36000649,125
E36000650,190
E36000651,30
E36000652,75
E36000653,5
E36000654,30
E36000655,45
E36000656,90
E36000657,15
E36000658,30
E36000659,65
E36000660,35
E36000661,50
E36000662,30
E36000663,155
E36000664,60
E36000665,35
E36000666,65
E36000667,75
E36000668,95
E36000669,130
E36000670,20
E36000671,70
E36000672,75
E36000673,10
E36000674,30
E36000675,65
E36000676,35
E36000677,60
E36000678,25
E36000679,20
E36000680,45
E36000681,35
E36000682,60
E36000683,65
E36000684,75
E36000685,20
E36000686,25
E36000687,5
E36000688,5
E36000689,20
E36000690,20
E36000691,40
E36000692,35
E36000693,40
E36000694,20
E36000695,60
E36000696,35
E36000697,30
E36000698,25
E36000699,80
E36000700,55
E36000701,10
E36000702,75
E36000703,25
E36000704,50
E36000705,80
E36000706,35
E36000707,90
E36000708,20
E36000709,25
E36000710,60
E36000711,55
E36000712,115
E36000713,110
E36000714,5
E36000715,25
E36000716,35
E36000717,40
E36000718,45
E36000719,80
E36000720,50
E36000721,30
E36000722,5
E36000723,90
E36000724,20
E36000725,115
E36000726,110
E36000727,140
E36000728,30
E36000729,90
E36000730,20
E36000731,5
E36000732,55
E36000733,0
E36000734,95
E36000735,45
E36000736,80
E36000737,95
E36000738,75
E36000739,100
E36000740,65
E36000741,25
E36000742,40
E36000743,30
E36000744,15
E36000745,55
E36000746,20
E36000747,95
E36000748,10
E36000749,65
E36000750,45
E36000751,95
E36000752,80
E36000753,60
E36000754,30
E36000755,75
E36000756,75
E36000757,45
E36000758,50
E36000759,50
E36000760,65
E36000761,175
E36000762,15
E36000763,35
E36000764,25
E36000765,35
E36000766,50
E36000767,50
E36000768,30
E36000769,240
E36000770,25
E36000771,125
E36000772,55
E36000773,95
E36000774,85
E36000775,50
E36000776,70
E36000777,25
E36000778,140
E36000779,10
E36000780,65
E36000781,90
E36000782,55
E36000783,95
E36000784,95
E36000785,25
E36000786,10
E36000787,45
E36000788,115
E36000789,60
E36000790,30
E36000791,15
E36000792,75
E36000793,10
E36000794,20
E36000795,50
E36000796,45
E36000797,15
E36000798,15
E36000799,95
E36000800,85
E36000801,85
E36000802,190
E36000803,10
E36000804,225
E36000805,205
E36000806,15
E36000807,30
E36000808,160
E36000809,65
E36000810,60
E36000811,40
E36000812,30
E36000813,35
E36000814,120
E36000815,75
E36000816,55
E36000817,70
E36000818,80
E36000819,70
E36000820,125
E36000821,105
E36000822,60
E36000823,55
E36000824,5
E36000825,15
E36000826,20
E36000827,10
E36000828,5
E36000829,15
E36000830,10
E36000831,20
E36000832,15
E36000833,25
E36000834,20
E36000835,10
E36000836,60
E36000837,15
E36000838,30
E36000839,5
E36000840,25
E36000841,10
E36000842,0
E36000843,0
E36000844,10
E36000845,15
E36000846,15
E36000847,35
E36000848,0
E36000849,30
E36000850,5
E36000851,5
E36000852,5
E36000853,5
E36000854,20
E36000855,20
E36000856,15
E36000857,10
E36000858,20
E36000859,15
E36000860,5
E36000861,10
E36000862,20
E36000863,30
E36000864,5
E36000865,10
E36000866,15
E36000867,20
E36000868,15
E36000869,5
E36000870,30
E36000871,10
E36000872,65
E36000873,65
E36000874,35
E36000875,65
E36000876,60
E36000877,40
E36000878,0
E36000879,85
E36000880,50
E36000881,40
E36000882,20
E36000883,35
E36000884,40
E36000885,10
E36000886,30
E36000887,85
E36000888,55
E36000889,55
E36000890,60
E36000891,85
E36000892,35
E36000893,55
E36000894,20
E36000895,45
E36000896,40
E36000897,35
E36000898,40
E36000899,25
E36000900,60
E36000901,55
E36000902,5
E36000903,20
E36000904,0
E36000905,10
E36000906,5
E36000907,5
E36000908,5
E36000909,35
E36000910,15
E36000911,10
E36000912,15
E36000913,5
E36000914,5
E36000915,20
E36000916,10
E36000917,15
E36000918,20
E36000919,5
E36000920,40
E36000921,0
E36000922,15
E36000923,0
E36000924,0
E36000925,10
E36000926,5
E36000927,30
E36000928,5
E36000929,5
E36000930,15
E36000931,20
E36000932,10
E36000933,5
E36000934,15
E36000935,10
E36000936,5
E36000937,30
E36000938,15
E36000939,20
E36000940,10
E36000941,10
E36000942,20
E36000943,5
E36000944,10
E36000945,5
E36000946,0
E36000947,10
E36000948,20
E36000949,5
E36000950,95
E36000951,70
E36000952,120
E36000953,10
E36000954,35
E36000955,70
E36000956,50
E36000957,35
E36000958,15
E36000959,25
E36000960,40
E36000961,50
E36000962,65
E36000963,10
E36000964,25
E36000965,10
E36000966,0
E36000967,45
E36000968,50
E36000969,45
E36000970,30
E36000971,90
E36000972,100
E36000973,60
E36000974,50
E36000975,170
E36000976,60
E36000977,90
E36000978,110
E36000979,85
E36000980,30
E36000981,155
E36000982,75
E36000983,55
E36000984,45
E36000985,120
E36000986,75
E36000987,35
E36000988,85
E36000989,150
E36000990,45
E36000991,35
E36000992,35
E36000993,60
E36000994,75
E36000995,80
E36000996,240
E36000997,50
E36000998,90
E36000999,25
E36001000,40
E36001001,105
E36001002,45
E36001003,75
E36001004,120
E36001005,100
E36001006,60
E36001007,85
E36001008,155
E36001009,40
E36001010,215
E36001011,165
E36001012,65
E36001013,80
E36001014,125
E36001015,110
E36001016,105
E36001017,105
E36001018,65
E36001019,140
E36001020,90
E36001021,60
E36001022,85
E36001023,140
E36001024,5
E36001025,5
E36001026,15
E36001027,20
E36001028,5
E36001029,15
E36001030,15
E36001031,10
E36001032,10
E36001033,5
E36001034,10
E36001035,5
E36001036,5
E36001037,10
E36001038,15
E36001039,15
E36001040,15
E36001041,0
E36001042,20
E36001043,40
E36001044,20
E36001045,25
E36001046,20
E36001047,20
E36001048,15
E36001049,55
