,GEOGRAPHY_CODE,final_total
0,95AA01,5
1,95AA02,10
2,95AA03,10
3,95AA04,0
4,95AA05,10
5,95AA06,20
6,95AA07,10
7,95AA08,15
8,95AA09,25
9,95AA10,15
10,95AA11,15
11,95AA12,5
12,95AA13,5
13,95AA14,5
14,95AA15,15
15,95AA16,5
16,95AA17,10
17,95AA18,5
18,95AA19,5
19,95BB01,10
20,95BB02,25
21,95BB03,25
22,95BB04,15
23,95BB05,10
24,95BB06,25
25,95BB07,15
26,95BB08,10
27,95BB09,10
28,95BB10,10
29,95BB11,10
30,95BB12,30
31,95BB13,35
32,95BB14,5
33,95BB15,15
34,95BB16,5
35,95BB17,20
36,95BB18,15
37,95BB19,15
38,95BB20,25
39,95BB21,20
40,95BB22,40
41,95BB23,5
42,95CC01,15
43,95CC02,5
44,95CC03,30
45,95CC04,5
46,95CC05,10
47,95CC06,15
48,95CC07,20
49,95CC08,20
50,95CC09,10
51,95CC10,10
52,95CC11,25
53,95CC12,10
54,95CC13,0
55,95CC14,10
56,95CC15,5
57,95CC16,10
58,95CC17,5
59,95CC18,10
60,95CC19,10
61,95CC20,5
62,95CC21,10
63,95CC22,15
64,95DD01,5
65,95DD02,5
66,95DD03,10
67,95DD04,35
68,95DD05,20
69,95DD06,5
70,95DD07,10
71,95DD08,20
72,95DD09,5
73,95DD10,20
74,95DD11,20
75,95DD12,0
76,95DD13,10
77,95DD14,10
78,95DD15,0
79,95DD16,10
80,95DD17,10
81,95DD18,15
82,95DD19,5
83,95DD20,20
84,95DD21,10
85,95DD22,10
86,95DD23,0
87,95DD24,10
88,95EE01,5
89,95EE02,15
90,95EE03,20
91,95EE04,10
92,95EE05,5
93,95EE06,10
94,95EE07,20
95,95EE08,10
96,95EE09,10
97,95EE10,5
98,95EE11,0
99,95EE12,20
100,95EE13,5
101,95EE14,15
102,95EE15,5
103,95EE16,10
104,95FF01,10
105,95FF02,10
106,95FF03,10
107,95FF04,10
108,95FF05,15
109,95FF06,10
110,95FF07,20
111,95FF08,15
112,95FF09,20
113,95FF10,5
114,95FF11,5
115,95FF12,15
116,95FF13,10
117,95FF14,0
118,95FF15,10
119,95FF16,10
120,95FF17,10
121,95GG01,25
122,95GG02,70
123,95GG03,15
124,95GG04,50
125,95GG05,25
126,95GG06,30
127,95GG07,50
128,95GG08,40
129,95GG09,20
130,95GG10,45
131,95GG11,30
132,95GG12,70
133,95GG13,15
134,95GG14,10
135,95GG15,10
136,95GG16,25
137,95GG17,25
138,95GG18,55
139,95GG19,50
140,95GG20,45
141,95GG21,45
142,95GG22,35
143,95GG23,0
144,95GG24,10
145,95GG25,45
146,95GG26,40
147,95GG27,65
148,95GG28,45
149,95GG29,40
150,95GG30,10
151,95GG31,45
152,95GG32,35
153,95GG33,0
154,95GG34,15
155,95GG35,35
156,95GG36,25
157,95GG37,20
158,95GG38,25
159,95GG39,55
160,95GG40,55
161,95GG41,10
162,95GG42,20
163,95GG43,30
164,95GG44,55
165,95GG45,15
166,95GG46,50
167,95GG47,55
168,95GG48,60
169,95GG49,50
170,95GG50,40
171,95GG51,60
172,95HH01,5
173,95HH02,15
174,95HH03,0
175,95HH04,15
176,95HH05,25
177,95HH06,20
178,95HH07,30
179,95HH08,10
180,95HH09,30
181,95HH10,10
182,95HH11,20
183,95HH12,10
184,95HH13,25
185,95HH14,15
186,95HH15,10
187,95HH16,5
188,95HH17,0
189,95II01,10
190,95II02,15
191,95II03,5
192,95II04,20
193,95II05,10
194,95II06,5
195,95II07,15
196,95II08,5
197,95II09,10
198,95II10,15
199,95II11,5
200,95II12,5
201,95II13,20
202,95II14,0
203,95II15,5
204,95II16,15
205,95II17,15
206,95II18,10
207,95II19,5
208,95II20,5
209,95II21,10
210,95II22,5
211,95II23,0
212,95JJ01,10
213,95JJ02,25
214,95JJ03,40
215,95JJ04,20
216,95JJ05,25
217,95JJ06,30
218,95JJ07,35
219,95JJ08,15
220,95JJ09,10
221,95JJ10,25
222,95JJ11,25
223,95JJ12,10
224,95JJ13,25
225,95JJ14,10
226,95JJ15,20
227,95JJ16,15
228,95JJ17,10
229,95JJ18,15
230,95JJ19,5
231,95JJ20,30
232,95JJ21,20
233,95JJ22,20
234,95KK01,5
235,95KK02,0
236,95KK03,5
237,95KK04,5
238,95KK05,10
239,95KK06,10
240,95KK07,5
241,95KK08,15
242,95KK09,10
243,95KK10,0
244,95KK11,15
245,95KK12,10
246,95KK13,5
247,95KK14,5
248,95KK15,0
249,95KK16,5
250,95LL01,15
251,95LL02,20
252,95LL03,15
253,95LL04,10
254,95LL05,5
255,95LL06,25
256,95LL07,25
257,95LL08,25
258,95LL09,35
259,95LL10,15
260,95LL11,10
261,95LL12,40
262,95LL13,20
263,95LL14,30
264,95LL15,10
265,95LL16,20
266,95LL17,20
267,95LL18,10
268,95LL19,10
269,95LL20,10
270,95LL21,20
271,95LL22,30
272,95LL23,15
273,95LL24,15
274,95LL25,10
275,95LL26,25
276,95MM01,40
277,95MM02,15
278,95MM03,25
279,95MM04,15
280,95MM05,30
281,95MM06,25
282,95MM07,25
283,95MM08,25
284,95MM09,15
285,95MM10,55
286,95MM11,40
287,95MM12,80
288,95MM13,95
289,95MM14,45
290,95MM15,25
291,95MM16,40
292,95MM17,30
293,95MM18,25
294,95MM19,20
295,95MM20,30
296,95MM21,30
297,95MM22,10
298,95MM23,40
299,95MM24,50
300,95MM25,105
301,95MM26,30
302,95MM27,80
303,95MM28,45
304,95MM29,55
