,GEOGRAPHY_CODE,final_total
0,95AA01,10
1,95AA02,15
2,95AA03,10
3,95AA04,10
4,95AA05,5
5,95AA06,15
6,95AA07,5
7,95AA08,15
8,95AA09,20
9,95AA10,15
10,95AA11,15
11,95AA12,10
12,95AA13,5
13,95AA14,5
14,95AA15,25
15,95AA16,15
16,95AA17,15
17,95AA18,5
18,95AA19,0
19,95BB01,10
20,95BB02,20
21,95BB03,20
22,95BB04,10
23,95BB05,5
24,95BB06,35
25,95BB07,25
26,95BB08,10
27,95BB09,10
28,95BB10,10
29,95BB11,10
30,95BB12,30
31,95BB13,25
32,95BB14,0
33,95BB15,15
34,95BB16,0
35,95BB17,20
36,95BB18,10
37,95BB19,20
38,95BB20,25
39,95BB21,25
40,95BB22,45
41,95BB23,15
42,95CC01,20
43,95CC02,5
44,95CC03,25
45,95CC04,10
46,95CC05,10
47,95CC06,5
48,95CC07,10
49,95CC08,20
50,95CC09,5
51,95CC10,10
52,95CC11,15
53,95CC12,5
54,95CC13,5
55,95CC14,15
56,95CC15,5
57,95CC16,10
58,95CC17,10
59,95CC18,15
60,95CC19,10
61,95CC20,5
62,95CC21,20
63,95CC22,10
64,95DD01,10
65,95DD02,10
66,95DD03,5
67,95DD04,30
68,95DD05,15
69,95DD06,5
70,95DD07,5
71,95DD08,15
72,95DD09,5
73,95DD10,15
74,95DD11,20
75,95DD12,5
76,95DD13,10
77,95DD14,10
78,95DD15,5
79,95DD16,15
80,95DD17,5
81,95DD18,15
82,95DD19,10
83,95DD20,20
84,95DD21,5
85,95DD22,5
86,95DD23,5
87,95DD24,10
88,95EE01,5
89,95EE02,10
90,95EE03,20
91,95EE04,10
92,95EE05,10
93,95EE06,5
94,95EE07,10
95,95EE08,5
96,95EE09,5
97,95EE10,10
98,95EE11,10
99,95EE12,20
100,95EE13,10
101,95EE14,15
102,95EE15,15
103,95EE16,10
104,95FF01,15
105,95FF02,10
106,95FF03,10
107,95FF04,0
108,95FF05,15
109,95FF06,5
110,95FF07,20
111,95FF08,5
112,95FF09,10
113,95FF10,5
114,95FF11,5
115,95FF12,5
116,95FF13,10
117,95FF14,0
118,95FF15,20
119,95FF16,10
120,95FF17,5
121,95GG01,25
122,95GG02,90
123,95GG03,25
124,95GG04,55
125,95GG05,35
126,95GG06,45
127,95GG07,75
128,95GG08,45
129,95GG09,20
130,95GG10,60
131,95GG11,35
132,95GG12,85
133,95GG13,15
134,95GG14,15
135,95GG15,15
136,95GG16,40
137,95GG17,50
138,95GG18,65
139,95GG19,65
140,95GG20,60
141,95GG21,65
142,95GG22,45
143,95GG23,10
144,95GG24,15
145,95GG25,55
146,95GG26,40
147,95GG27,60
148,95GG28,45
149,95GG29,50
150,95GG30,20
151,95GG31,45
152,95GG32,55
153,95GG33,10
154,95GG34,15
155,95GG35,55
156,95GG36,20
157,95GG37,30
158,95GG38,20
159,95GG39,60
160,95GG40,55
161,95GG41,10
162,95GG42,15
163,95GG43,15
164,95GG44,55
165,95GG45,15
166,95GG46,70
167,95GG47,100
168,95GG48,55
169,95GG49,50
170,95GG50,45
171,95GG51,65
172,95HH01,5
173,95HH02,15
174,95HH03,5
175,95HH04,10
176,95HH05,15
177,95HH06,30
178,95HH07,30
179,95HH08,15
180,95HH09,20
181,95HH10,5
182,95HH11,15
183,95HH12,10
184,95HH13,15
185,95HH14,20
186,95HH15,10
187,95HH16,5
188,95HH17,5
189,95II01,5
190,95II02,10
191,95II03,0
192,95II04,20
193,95II05,10
194,95II06,10
195,95II07,15
196,95II08,5
197,95II09,5
198,95II10,20
199,95II11,10
200,95II12,0
201,95II13,25
202,95II14,0
203,95II15,5
204,95II16,10
205,95II17,10
206,95II18,15
207,95II19,10
208,95II20,10
209,95II21,20
210,95II22,5
211,95II23,10
212,95JJ01,10
213,95JJ02,15
214,95JJ03,45
215,95JJ04,15
216,95JJ05,20
