,GEOGRAPHY_CODE,final_total
0,95AA01,5
1,95AA02,15
2,95AA03,5
3,95AA04,5
4,95AA05,5
5,95AA06,15
6,95AA07,10
7,95AA08,10
8,95AA09,20
9,95AA10,15
10,95AA11,15
11,95AA12,5
12,95AA13,5
13,95AA14,5
14,95AA15,10
15,95AA16,15
16,95AA17,10
17,95AA18,0
18,95AA19,5
19,95BB01,10
20,95BB02,25
21,95BB03,30
22,95BB04,10
23,95BB05,10
24,95BB06,35
25,95BB07,15
26,95BB08,10
27,95BB09,5
28,95BB10,15
29,95BB11,15
30,95BB12,25
31,95BB13,30
32,95BB14,5
33,95BB15,10
34,95BB16,5
35,95BB17,20
36,95BB18,10
37,95BB19,15
38,95BB20,25
39,95BB21,20
40,95BB22,30
41,95BB23,5
42,95CC01,10
43,95CC02,10
44,95CC03,25
45,95CC04,10
46,95CC05,20
47,95CC06,10
48,95CC07,20
49,95CC08,15
50,95CC09,15
51,95CC10,10
52,95CC11,15
53,95CC12,5
54,95CC13,0
55,95CC14,10
56,95CC15,10
57,95CC16,15
58,95CC17,5
59,95CC18,0
60,95CC19,10
61,95CC20,10
62,95CC21,15
63,95CC22,10
64,95DD01,5
65,95DD02,10
66,95DD03,15
67,95DD04,30
68,95DD05,15
69,95DD06,0
70,95DD07,15
71,95DD08,20
72,95DD09,5
73,95DD10,15
74,95DD11,20
75,95DD12,0
76,95DD13,10
77,95DD14,10
78,95DD15,0
79,95DD16,5
80,95DD17,10
81,95DD18,20
82,95DD19,10
83,95DD20,20
84,95DD21,10
85,95DD22,5
86,95DD23,0
87,95DD24,10
88,95EE01,5
89,95EE02,15
90,95EE03,20
91,95EE04,5
92,95EE05,5
93,95EE06,5
94,95EE07,20
95,95EE08,5
96,95EE09,10
97,95EE10,5
98,95EE11,5
99,95EE12,20
100,95EE13,5
101,95EE14,15
102,95EE15,5
103,95EE16,10
104,95FF01,10
105,95FF02,10
106,95FF03,10
107,95FF04,5
108,95FF05,10
109,95FF06,10
110,95FF07,20
111,95FF08,10
112,95FF09,15
113,95FF10,10
114,95FF11,0
115,95FF12,10
116,95FF13,10
117,95FF14,0
118,95FF15,15
119,95FF16,10
120,95FF17,10
121,95GG01,30
122,95GG02,95
123,95GG03,15
124,95GG04,50
125,95GG05,30
126,95GG06,40
127,95GG07,50
128,95GG08,35
129,95GG09,25
130,95GG10,40
131,95GG11,30
132,95GG12,70
133,95GG13,25
134,95GG14,20
135,95GG15,5
136,95GG16,25
137,95GG17,35
138,95GG18,55
139,95GG19,50
140,95GG20,55
141,95GG21,50
142,95GG22,30
143,95GG23,0
144,95GG24,10
145,95GG25,50
146,95GG26,40
147,95GG27,65
148,95GG28,35
149,95GG29,40
150,95GG30,15
151,95GG31,45
152,95GG32,40
153,95GG33,10
154,95GG34,20
155,95GG35,45
156,95GG36,20
157,95GG37,15
158,95GG38,20
159,95GG39,55
160,95GG40,65
161,95GG41,10
162,95GG42,10
163,95GG43,20
164,95GG44,55
165,95GG45,15
166,95GG46,45
167,95GG47,80
168,95GG48,65
169,95GG49,45
170,95GG50,40
171,95GG51,50
172,95HH01,5
173,95HH02,10
174,95HH03,0
175,95HH04,10
176,95HH05,20
177,95HH06,15
178,95HH07,25
179,95HH08,5
180,95HH09,20
181,95HH10,5
182,95HH11,25
183,95HH12,5
184,95HH13,30
185,95HH14,15
186,95HH15,10
187,95HH16,10
188,95HH17,5
189,95II01,5
190,95II02,20
191,95II03,5
192,95II04,15
193,95II05,15
194,95II06,5
195,95II07,15
196,95II08,5
197,95II09,10
198,95II10,15
199,95II11,10
200,95II12,0
201,95II13,15
202,95II14,5
203,95II15,5
204,95II16,10
205,95II17,20
206,95II18,10
207,95II19,10
208,95II20,10
209,95II21,10
210,95II22,5
211,95II23,0
212,95JJ01,5
213,95JJ02,20
214,95JJ03,50
215,95JJ04,20
216,95JJ05,20
217,95JJ06,25
218,95JJ07,35
219,95JJ08,15
220,95JJ09,10
221,95JJ10,20
222,95JJ11,25
223,95JJ12,15
224,95JJ13,20
225,95JJ14,10
226,95JJ15,25
227,95JJ16,10
228,95JJ17,5
229,95JJ18,15
230,95JJ19,5
231,95JJ20,25
232,95JJ21,20
233,95JJ22,10
234,95KK01,5
235,95KK02,0
236,95KK03,0
237,95KK04,10
238,95KK05,5
239,95KK06,5
240,95KK07,5
241,95KK08,10
242,95KK09,5
243,95KK10,0
244,95KK11,15
245,95KK12,15
246,95KK13,5
247,95KK14,5
248,95KK15,0
249,95KK16,0
250,95LL01,15
251,95LL02,20
252,95LL03,20
253,95LL04,10
254,95LL05,10
255,95LL06,20
256,95LL07,25
257,95LL08,25
258,95LL09,35
259,95LL10,20
260,95LL11,10
261,95LL12,40
262,95LL13,25
263,95LL14,30
264,95LL15,20
265,95LL16,20
266,95LL17,20
267,95LL18,10
268,95LL19,10
269,95LL20,10
270,95LL21,20
271,95LL22,30
272,95LL23,15
273,95LL24,10
274,95LL25,10
275,95LL26,25
276,95MM01,45
277,95MM02,15
278,95MM03,25
279,95MM04,20
280,95MM05,40
281,95MM06,30
282,95MM07,25
283,95MM08,25
284,95MM09,15
285,95MM10,55
286,95MM11,45
287,95MM12,90
288,95MM13,95
289,95MM14,50
290,95MM15,25
291,95MM16,40
292,95MM17,30
293,95MM18,35
294,95MM19,20
295,95MM20,30
296,95MM21,30
297,95MM22,10
298,95MM23,50
299,95MM24,50
300,95MM25,110
301,95MM26,35
302,95MM27,75
303,95MM28,50
304,95MM29,60
305,95MM30,30
306,95NN01,30
307,95NN02,15
308,95NN03,5
309,95NN04,35
310,95NN05,20
311,95NN06,20
312,95NN07,30
313,95NN08,15
314,95NN09,5
315,95NN10,10
316,95NN11,15
317,95NN12,20
318,95NN13,5
319,95NN14,25
320,95NN15,30
321,95NN16,10
322,95NN17,20
323,95NN18,20
324,95NN19,5
325,95NN20,15
326,95NN21,15
327,95NN22,10
328,95NN23,15
329,95OO01,5
330,95OO02,5
331,95OO03,5
332,95OO04,10
333,95OO05,20
334,95OO06,10
335,95OO07,10
336,95OO08,0
337,95OO09,5
338,95OO10,15
339,95OO11,15
340,95OO12,20
341,95OO13,5
342,95OO14,10
343,95OO15,10
344,95OO16,5
345,95OO17,10
346,95OO18,10
347,95OO19,20
348,95OO20,10
349,95OO21,10
350,95OO22,10
351,95PP01,5
352,95PP02,10
353,95PP03,15
354,95PP04,5
355,95PP05,5
356,95PP06,15
357,95PP07,10
358,95PP08,0
359,95PP09,20
360,95PP10,0
361,95PP11,15
362,95PP12,0
363,95PP13,10
364,95PP14,15
365,95PP15,10
366,95PP16,10
367,95PP17,15
368,95PP18,5
369,95PP19,10
370,95PP20,25
371,95PP21,10
372,95PP22,10
373,95PP23,5
374,95QQ01,15
375,95QQ02,5
376,95QQ03,15
377,95QQ04,15
378,95QQ05,5
379,95QQ06,5
380,95QQ07,15
381,95QQ08,10
382,95QQ09,5
383,95QQ10,5
384,95QQ11,5
385,95QQ12,10
386,95QQ13,0
387,95QQ14,10
388,95QQ15,15
389,95RR01,35
390,95RR02,25
391,95RR03,30
392,95RR04,15
393,95RR05,25
394,95RR06,10
395,95RR07,15
396,95RR08,5
397,95RR09,30
398,95RR10,45
399,95RR11,10
400,95RR12,10
401,95RR13,25
402,95RR14,10
403,95RR15,20
404,95SS01,15
405,95SS02,15
406,95SS03,0
407,95SS04,30
408,95SS05,10
409,95SS06,90
410,95SS07,60
411,95SS08,10
412,95SS09,0
413,95SS10,15
414,95SS11,10
415,95SS12,0
416,95SS13,15
417,95SS14,10
418,95SS15,5
419,95SS16,25
420,95SS17,25
421,95SS18,25
422,95SS19,25
423,95SS20,5
424,95SS21,10
425,95SS22,10
426,95SS23,5
427,95SS24,15
428,95SS25,20
429,95SS26,25
430,95SS27,15
431,95SS28,15
432,95SS29,25
433,95SS30,5
434,95TT01,5
435,95TT02,15
436,95TT03,10
437,95TT04,10
438,95TT05,15
439,95TT06,15
440,95TT07,5
441,95TT08,10
442,95TT09,5
443,95TT10,15
444,95TT11,5
445,95TT12,5
446,95TT13,20
447,95TT14,15
448,95TT15,15
449,95TT16,5
450,95UU01,5
451,95UU02,10
452,95UU03,5
453,95UU04,10
454,95UU05,5
455,95UU06,15
456,95UU07,0
457,95UU08,0
458,95UU09,10
459,95UU10,0
460,95UU11,0
461,95UU12,15
462,95UU13,5
463,95UU14,10
464,95UU15,10
465,95VV01,10
466,95VV02,15
467,95VV03,20
468,95VV04,5
469,95VV05,5
470,95VV06,5
471,95VV07,25
472,95VV08,5
473,95VV09,20
474,95VV10,25
475,95VV11,5
476,95VV12,15
477,95VV13,10
478,95VV14,20
479,95VV15,25
480,95VV16,10
481,95VV17,20
482,95VV18,15
483,95VV19,15
484,95VV20,5
485,95VV21,10
486,95VV22,15
487,95VV23,5
488,95VV24,5
489,95VV25,10
490,95VV26,5
491,95VV27,10
492,95VV28,20
493,95VV29,0
494,95VV30,15
495,95WW01,15
496,95WW02,20
497,95WW03,15
498,95WW04,10
499,95WW05,5
500,95WW06,10
501,95WW07,5
502,95WW08,10
503,95WW09,10
504,95WW10,20
505,95WW11,5
506,95WW12,30
507,95WW13,10
508,95WW14,20
509,95WW15,10
510,95WW16,20
511,95WW17,15
512,95WW18,5
513,95WW19,15
514,95WW20,20
515,95WW21,35
516,95WW22,5
517,95WW23,15
518,95WW24,30
519,95WW25,15
520,95XX01,15
521,95XX02,0
522,95XX03,0
523,95XX04,10
524,95XX05,5
525,95XX06,25
526,95XX07,5
527,95XX08,0
528,95XX09,5
529,95XX10,30
530,95XX11,25
531,95XX12,0
532,95XX13,0
533,95XX14,0
534,95XX15,25
535,95XX16,5
536,95XX17,35
537,95XX18,10
538,95XX19,5
539,95XX20,10
540,95XX21,0
541,95XX22,15
542,95XX23,15
543,95XX24,5
544,95XX25,20
545,95YY01,5
546,95YY02,15
547,95YY03,10
548,95YY04,10
549,95YY05,15
550,95YY06,10
551,95YY07,5
552,95YY08,10
553,95YY09,10
554,95YY10,5
555,95YY11,10
556,95YY12,10
557,95YY13,20
558,95YY14,15
559,95YY15,20
560,95YY16,5
561,95YY17,10
562,95YY18,10
563,95YY19,10
564,95YY20,5
565,95YY21,10
566,95ZZ01,15
567,95ZZ02,25
568,95ZZ03,30
569,95ZZ04,10
570,95ZZ05,15
571,95ZZ06,35
572,95ZZ07,20
573,95ZZ08,25
574,95ZZ09,25
575,95ZZ10,40
576,95ZZ11,10
577,95ZZ12,20
578,95ZZ13,15
579,95ZZ14,20
580,95ZZ15,10
581,95ZZ16,30
582,E36000001,155
583,E36000002,160
584,E36000003,160
585,E36000004,5
586,E36000005,30
587,E36000006,85
588,E36000007,115
589,E36000008,10
590,E36000009,30
591,E36000010,155
592,E36000011,35
593,E36000012,90
594,E36000013,65
595,E36000014,30
596,E36000015,95
597,E36000016,180
598,E36000017,60
599,E36000018,20
600,E36000019,70
601,E36000020,60
602,E36000021,55
603,E36000022,15
604,E36000023,65
605,E36000024,45
606,E36000025,185
607,E36000026,65
608,E36000027,10
609,E36000028,50
610,E36000029,50
611,E36000030,10
612,E36000031,5
613,E36000032,110
614,E36000033,130
615,E36000034,5
616,E36000035,100
617,E36000036,50
618,E36000037,105
619,E36000038,15
620,E36000039,115
621,E36000040,90
622,E36000041,60
623,E36000042,75
624,E36000043,50
625,E36000044,70
626,E36000045,115
627,E36000046,55
628,E36000047,30
629,E36000048,50
630,E36000049,20
631,E36000050,60
632,E36000051,15
633,E36000052,30
634,E36000053,35
635,E36000054,15
636,E36000055,25
637,E36000056,55
638,E36000057,100
639,E36000058,25
640,E36000059,45
641,E36000060,20
642,E36000061,25
643,E36000062,15
644,E36000063,70
645,E36000064,90
646,E36000065,30
647,E36000066,55
648,E36000067,10
649,E36000068,35
650,E36000069,20
651,E36000070,20
652,E36000071,30
653,E36000072,95
654,E36000073,15
655,E36000074,35
656,E36000075,25
657,E36000076,170
658,E36000077,125
659,E36000078,5
660,E36000079,65
661,E36000080,65
